Title,English Name,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
Sousou no Frieren,Frieren: Beyond Journey's End,TV,28.0,"Adventure, Drama, Fantasy",1.0,2023-2023,"Crunchyroll, Netflix, Aniplus TV, Bahamut Anime Crazy, Bilibili Global, CatchPlay, MeWatch, Muse Asia, iQIYI",9.12
Attack on Titan,,,,,,2013-2013,,9.1
Gintama: THE FINAL,,Movie,1.0,"Action, Comedy, Drama, Sci-Fi",,2021-2021,,9.1
Gintama°,Gintama Season 4,TV,51.0,"Action, Comedy, Sci-Fi, Drama",4.0,2015-2015,Crunchyroll,9.1
Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,TV,64.0,"Action, Adventure, Drama, Fantasy",2.0,2009-2009,Crunchyroll,9.09
Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,TV,10.0,"Action, Drama, Suspense",5.0,2019-2019,"Crunchyroll, Netflix, Shahid",9.05
Gintama: The Final,Gintama: The Very Final,Movie,1.0,"Action, Comedy, Drama, Sci-Fi",6.0,2021-2021,"Crunchyroll, Shahid",9.04
Hunter x Hunter (2011),Hunter x Hunter,TV,148.0,"Action, Adventure, Fantasy",8.0,2011-2011,"Crunchyroll, Netflix, Shahid",9.03
Bleach: Sennen Kessen-hen,Bleach: Thousand-Year Blood War,TV,13.0,"Action, Adventure, Fantasy",12.0,2022-2022,"Disney+, Bahamut Anime Crazy, Bilibili Global, Hulu, Shahid",9.01
Bleach: Thousand-Year Blood War,,,,,,2022-2022,,9.0
Legend of the Galactic Heroes,,,,,,1988-1988,,9.0
Fruits Basket: The Final,Fruits Basket: The Final Season,TV,13.0,"Drama, Romance, Supernatural, Comedy, Psychological, Slice of Life",15.0,2021-2021,"Crunchyroll, Bahamut Anime Crazy, Starzplay, iQIYI",9.0
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,,TV,64.0,"Action, Adventure, Drama, Fantasy",,2009-2009,,9.0
Clannad: After Story,Clannad: After Story,TV,24.0,"Drama, Romance, Supernatural",16.0,2008-2008,Shahid,8.93
Gintama': Enchousen,Gintama: Enchousen,TV,13.0,"Action, Comedy, Sci-Fi, Drama",10.0,2012-2012,Crunchyroll,8.91
Gintama',Gintama Season 2,TV,51.0,"Action, Comedy, Sci-Fi, Drama",7.0,2011-2011,Crunchyroll,8.91
Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,TV,13.0,"Comedy, Romance, Psychological, Slice of Life",13.0,2022-2022,"Crunchyroll, Animax Korea, Animax Mongolia, Bilibili Global, Laftel, iQIYI",8.91
3-gatsu no Lion 2nd Season,March Comes In Like a Lion 2nd Season,TV,22.0,,19.0,2017-2017,"Crunchyroll, Netflix",8.91
Frieren: Beyond Journey's End,,,,,,2023-2023,,8.9
Steins;Gate,Steins;Gate,TV,24.0,"Drama, Sci-Fi, Suspense, Psychological, Thriller",3.0,2011-2011,"Crunchyroll, Netflix",8.9
HUNTER×HUNTER (2011),,TV,148.0,"Action, Adventure, Fantasy",,2014-2014,,8.9
Shingeki no Kyojin 3 Part 2,,TV,10.0,"Action, Drama, Fantasy, Mystery",,2019-2019,,8.9
3-gatsu no Lion 2,,TV,22.0,"Drama, Slice of Life",,2017-2017,,8.9
Silver Fang,,,,,,1986-1986,,8.9
Owarimonogatari (Ge),,TV,7.0,"Comedy, Mystery, Psychological, Romance, Supernatural",,2017-2017,,8.9
